nf code,question,nf name,study source,guideline,test type,test material,outcome,remarks
NF 2019/1046,EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,,bacterial reverse mutation assay,DHA-rich oils from different strains of Schizochytrium sp.,negative,
NF 2019/1046,EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,,chromosome aberration assay,DHA-rich oils from different strains of Schizochytrium sp.,negative,
NF 2019/1046,EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,,micronucleus assay,DHA-rich oils from different strains of Schizochytrium sp.,negative,
NF 2020/2160,EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2020/2160,EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,OECD TG 487,in vitro mammalian cell micronucleus test,NF,negative,
NF 2020/2160,EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,OECD TG 473,in vitro mammalian chromosome aberration test,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 473,in vitro mammalian chromosome aberration test,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 490,mammalian cell gene mutation assay,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 474,Mammalian erythrocyte micronucleus test,NF,negative,
NF 2018/0233,EFSA-Q-2018-00480,nicotinamide riboside chloride,original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2018/0233,EFSA-Q-2018-00480,nicotinamide riboside chloride,original,OECD TG 473,in vitro mammalian chromosome aberration test,NF,negative,
NF 2018/0233,EFSA-Q-2018-00480,nicotinamide riboside chloride,original,OECD TG 474,Mammalian erythrocyte micronucleus test,NF,negative,
NF 2020/2033,EFSA-Q-2021-00053,fresh plants of Wolffia arrhiza and Wolffia globosa,literature,,bacterial reverse mutation assay,Dry Mankai (dry products of W. globosa),negative,
NF 2020/2033,EFSA-Q-2021-00053,fresh plants of Wolffia arrhiza and Wolffia globosa,literature,,in vitro mammalian cell micronucleus test,Dry Mankai (dry products of W. globosa),negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 471,bacterial reverse mutation assay,NF oil,negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 471,bacterial reverse mutation assay,Jatropha kernel oil,negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 471,bacterial reverse mutation assay,NF defatted meal,inconclusive,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 471,bacterial reverse mutation assay,Jatropha kernel defatted meal,inconclusive,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 487,in vitro mammalian cell micronucleus test,NF oil,negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 487,in vitro mammalian cell micronucleus test,Jatropha kernel oil,negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 487,in vitro mammalian cell micronucleus test,NF defatted meal,negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 487,in vitro mammalian cell micronucleus test,Jatropha kernel defatted meal,negative,
NF 2020/1526,EFSA‐Q‐2020‐00111,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2020/1526,EFSA‐Q‐2020‐00111,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2020/1526,EFSA‐Q‐2020‐00111,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),original,OECD TG 487,in vitro mammalian cell micronucleus test,NF,negative,
NF 2018/0669,EFSA-Q-2019-00043,dried whole cell Euglena gracilis,original,OECD TG 471,bacterial reverse mutation assay,,negative,
NF 2018/0669,EFSA-Q-2019-00043,dried whole cell Euglena gracilis,original,OECD TG 474,Mammalian erythrocyte micronucleus test,,inconclusive,
NF 2018/0328,EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,original,,bacterial reverse mutation assay,Hovenia dulcis fruit extracts,,
NF 2018/0328,EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,original,,Mammalian erythrocyte micronucleus test,Hovenia dulcis fruit extracts,,
NF 2018/0328,EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,original,,in vitro mammalian chromosome aberration test,Hovenia dulcis fruit extracts,,
,EFSA-Q-2011-01155,dihydrocapsiate,original,Japanese guidelines of the Industrial Safety and Health Law,bacterial gene mutation assay,laboratory scale DHC (95.8% DHC),positive,
,EFSA-Q-2011-01155,dihydrocapsiate,original,Japanese guidelines of the Industrial Safety and Health Law,chromosome aberration assay,laboratory scale DHC (95.8% DHC),positive,
,EFSA-Q-2011-01155,dihydrocapsiate,original,"Ordinance No. 21 (March 26, 1997) onstandards for conduct of non-clinical studies on safety of drugs, the Ministry of Health and Welfare,Japan",Mammalian erythrocyte micronucleus test,laboratory scale DHC (95.8% DHC),negative,
,EFSA-Q-2011-01155,dihydrocapsiate,original,,single cell gel/comet assay in mammalian cells for detection of DNA damage,laboratory scale DHC (95.8% DHC),inconclusive,
,EFSA-Q-2011-01155,dihydrocapsiate,original,WHO-IPCS,transgenic BigBlue® rat cell assay for detection of gene mutation in vivo,commercial grade DHC (94.0% DHC),negative,
,EFSA-Q-2011-01155,dihydrocapsiate,original,"Ordinance No. 21 (March 26, 1997) onstandards for conduct of non-clinical studies on safety of drugs, the Ministry of Health and Welfare,Japan",Mammalian erythrocyte micronucleus test,commercial grade DHC (94.0% DHC),negative,
,EFSA-Q-2011-01155,dihydrocapsiate,original,,bacterial reverse mutation assay,CH-19 sweet extract (sweet pepper extract containing 7.5% capsinoids of which 20% is DHC),negative,
,EFSA-Q-2011-01155,dihydrocapsiate,original,,in vitro mammalian chromosome aberration test,CH-19 sweet extract (sweet pepper extract containing 7.5% capsinoids of which 20% is DHC),negative,
,EFSA-Q-2011-01155,dihydrocapsiate,original,,Mammalian erythrocyte micronucleus test,CH-19 sweet extract (sweet pepper extract containing 7.5% capsinoids of which 20% is DHC),negative,
NF 2020/1621,EFSA-Q-2020-00488,apple fruit cell culture biomass,original,,bacterial reverse mutation assay,isomalt with 1.6% NF,,
NF 2020/1621,EFSA-Q-2020-00488,apple fruit cell culture biomass,original,,in vitro mammalian cell micronucleus test,isomalt with 1.6% NF,,
NF 2020/1621,EFSA-Q-2020-00488,apple fruit cell culture biomass,original,,in vitro mammalian chromosome aberration test,isomalt with 1.6% NF,,
NF 2020/1621,EFSA-Q-2020-00488,apple fruit cell culture biomass,original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2020/1621,EFSA-Q-2020-00488,apple fruit cell culture biomass,original,OECD TG 487,in vitro mammalian cell micronucleus test,NF,negative,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,OECD TG 471,bacterial reverse mutation assay,resveratrol,negative,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,OECD TG 471,bacterial reverse mutation assay,trans-resveratrol (resVida(R)) produced by a different process,negative,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,,bacterial photomutagenicity test,trans-resveratrol (resVida(R)),negative,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,,bacterial reverse mutation assay,trans-resveratrol from Yucca schidigera bark,negative,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,OECD TG 473,in vitro mammalian chromosome aberration test,trans-resveratrol (99.1%),positive,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,,mammalian cell gene mutation assay,resveratrol (from a different manufacturer),positive,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,OECD TG 474,Mammalian erythrocyte micronucleus test,trans-resveratrol,negative,
,EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,,micronucleus assay,trans-resveratrol (98.2%) from Polygonum cuspidatum,negative,
,EFSA-Q-2007-059,Allanblackia seed oil,original,,bacterial gene mutation assay,Allanblackia seed oil,negative,
,EFSA-Q-2007-059,Allanblackia seed oil,original,,mammalian cell gene mutation assay,Allanblackia seed oil,negative,
,EFSA-Q-2007-059,Allanblackia seed oil,original,,in vitro mammalian cell micronucleus test,Allanblackia seed oil,negative,
,EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,Previous assessment,,,Tahitian Noni(R) juice (TNJ(R)),,
NF 2018/0401,EFSA-Q-2018-00374,2’‐fucosyllactose/difucosyllactose mixture,original,OECD TG 471,bacterial reverse mutation assay,NF (82.5% 2'-FL and 9.64% DFL),negative,
NF 2018/0401,EFSA-Q-2018-00374,2’‐fucosyllactose/difucosyllactose mixture,original,OECD TG 487,in vitro mammalian cell micronucleus test,NF (82.5% 2'-FL and 9.64% DFL),negative,
NF 2020/2030,EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,original,,Bacillus subtilis recombination assay,Extract,negative,
NF 2020/2030,EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,original,,bacterial reverse mutation assay,Extract,negative,
NF 2020/2030,EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,original,,micronucleus assay,Extract,negative,
,EFSA-Q-2017-00461,d‐ribose,literature,OECD TG 471,bacterial reverse mutation assay,D-ribose,negative,
,EFSA-Q-2017-00461,d‐ribose,literature,OECD TG 743,in vitro mammalian chromosome aberration test,D-ribose,negative,
,EFSA-Q-2017-00461,d‐ribose,literature,OECD TG 476,mammalian cell gene mutation assay,D-ribose,negative,
,EFSA-Q-2017-00461,d‐ribose,literature,OECD TG 474,Mammalian erythrocyte micronucleus test,D-ribose,negative,
,EFSA-Q-2018-00247,astaxanthin,Previous assessment,,bacterial reverse mutation assay,ATX produced by Phaffia rhodozyma,negative,
,EFSA-Q-2018-00247,astaxanthin,Previous assessment,,micronucleus assay,ATX produced by Phaffia rhodozyma,negative,
NF 2018/0241,EFSA-Q-2018-00262,dried yellow mealworm (Tenebrio molitor larva),literature,"OECD, KFDA (Korea Food and Drug Administration)",bacterial reverse mutation assay,freeze-dried powdered T. molitor larvae,negative,
NF 2018/0241,EFSA-Q-2018-00262,dried yellow mealworm (Tenebrio molitor larva),literature,"OECD, KFDA (Korea Food and Drug Administration)",in vitro mammalian chromosome aberration test,freeze-dried powdered T. molitor larvae,negative,
NF 2018/0241,EFSA-Q-2018-00262,dried yellow mealworm (Tenebrio molitor larva),literature,"OECD, KFDA (Korea Food and Drug Administration)",micronucleus assay,freeze-dried powdered T. molitor larvae,inconclusive,"No mutagenic effects. However, insufﬁcient data to conﬁrm the target tissue exposure (absence of bone marrow cytotoxicity and/or lack of evidence of systemic exposure), to allow on the validity of the negative outcome of this study."
